memAlpha,memBeta,vizAlpha,vizBeta,memory,vision,DV,timestep,memPrecision,vizPrecision
13,5,64,65,6.52407226153508,-0.481627880808073,6.04244438072701,127,3.04704917721454,2.00445982185934
13,5,65,65,6.52407226153508,0.0514396124574175,6.5755118739925,128,3.04704917721454,2.01111641798366
14,5,65,66,7.67903426295849,-0.806637126862288,6.8723971360962,129,3.1761368974446,2.00438962992647
14,5,65,67,7.67903426295849,-1.39829065158135,6.28074361137714,130,3.1761368974446,1.99797258852979
14,5,65,68,7.67903426295849,-1.85971031042768,5.81932395253081,131,3.1761368974446,1.9918514109799
14,5,66,68,7.67903426295849,-1.74895986994798,5.93007439301051,132,3.1761368974446,1.99799611774146
14,5,66,69,7.67903426295849,-1.86269475831947,5.81633950463901,133,3.1761368974446,1.99195795052924
14,5,66,70,7.67903426295849,-1.93696162798019,5.7420726349783,134,3.1761368974446,1.98619459299598
14,5,67,70,7.67903426295849,-1.70478998664875,5.97424427630974,135,3.1761368974446,1.99206178606877
14,5,67,71,7.67903426295849,-1.87126643582256,5.80776782713593,136,3.1761368974446,1.98637158630214
15,5,67,72,8.63865103158315,-2.52907973370704,6.10957129787611,137,3.30647937286713,1.98093722932462
15,5,67,73,8.63865103158315,-3.19688744858978,5.44176358299337,138,3.30647937286713,1.97574801614519
