subID,cue,coherence,model,parameter,fitted_value
3,0.8,0.53,,s2_incong,-0.805998
3,0.8,0.53,,B,2.234519
3,0.8,0.61,,n1_cong,1.298603
3,0.8,0.61,,n1_incong,1.127561
3,0.8,0.61,,s1_cong,2.468565
3,0.8,0.61,,s1_incong,-1.0
3,0.8,0.61,,n2_cong,-0.453484
3,0.8,0.61,,n2_incong,-0.532923
3,0.8,0.61,,s2_cong,6.265342
3,0.8,0.61,,s2_incong,-1.0
3,0.8,0.61,,B,1.003849
3,0.8,0.515,,n1_cong,4.225956
3,0.8,0.515,,n1_incong,5.251943
3,0.8,0.515,,s1_cong,2.04003
3,0.8,0.515,,s1_incong,1.749974
3,0.8,0.515,,n2_cong,-0.614955
3,0.8,0.515,,n2_incong,-0.138644
3,0.8,0.515,,s2_cong,3.304495
3,0.8,0.515,,s2_incong,2.945368
3,0.8,0.515,,B,7.42333
4,0.5,0.56,,n1_neut,0.016181
4,0.5,0.56,,s1_neut,1.022886
4,0.5,0.56,,n2_neut,-0.178935
4,0.5,0.56,,s2_neut,1.764679
4,0.5,0.56,,B,1.383272
4,0.5,0.53,,n1_neut,-0.008402
4,0.5,0.53,,s1_neut,0.607234
4,0.5,0.53,,n2_neut,-0.258058
4,0.5,0.53,,s2_neut,1.985117
4,0.5,0.53,,B,2.054532
4,0.5,0.515,,n1_neut,3.521231
4,0.5,0.515,,s1_neut,2.869739
4,0.5,0.515,,n2_neut,1.076828
4,0.5,0.515,,s2_neut,4.04337
4,0.5,0.515,,B,10.293862
4,0.5,0.54,,n1_neut,0.020718
4,0.5,0.54,,s1_neut,0.641482
4,0.5,0.54,,n2_neut,-0.157238
4,0.5,0.54,,s2_neut,1.54081
4,0.5,0.54,,B,1.712595
4,0.5,0.52,,n1_neut,-0.146438
4,0.5,0.52,,s1_neut,0.842857
4,0.5,0.52,,n2_neut,-0.438125
4,0.5,0.52,,s2_neut,2.633768
4,0.5,0.52,,B,2.7177
4,0.5,0.61,,n1_neut,0.049063
4,0.5,0.61,,s1_neut,1.915456
4,0.5,0.61,,n2_neut,-0.046743
4,0.5,0.61,,s2_neut,5.743297
4,0.5,0.61,,B,1.003403
4,0.65,0.56,,n1_cong,0.488696
4,0.65,0.56,,n1_incong,0.410905
4,0.65,0.56,,s1_cong,1.032258
4,0.65,0.56,,s1_incong,-0.712595
4,0.65,0.56,,n2_cong,-0.27596
4,0.65,0.56,,n2_incong,-0.079918
4,0.65,0.56,,s2_cong,1.871631
4,0.65,0.56,,s2_incong,-1.0
4,0.65,0.56,,B,1.397054
4,0.65,0.53,,n1_cong,0.281418
4,0.65,0.53,,n1_incong,0.368639
4,0.65,0.53,,s1_cong,1.108751
4,0.65,0.53,,s1_incong,-0.070739
4,0.65,0.53,,n2_cong,-0.40272
4,0.65,0.53,,n2_incong,-0.083773
4,0.65,0.53,,s2_cong,2.188593
4,0.65,0.53,,s2_incong,-1.0
4,0.65,0.53,,B,2.052272
4,0.65,0.515,,n1_cong,2.440389
4,0.65,0.515,,n1_incong,2.365581
4,0.65,0.515,,s1_cong,1.281854
4,0.65,0.515,,s1_incong,2.351747
4,0.65,0.515,,n2_cong,-0.449133
4,0.65,0.515,,n2_incong,-1.0
4,0.65,0.515,,s2_cong,3.237983
4,0.65,0.515,,s2_incong,3.406509
4,0.65,0.515,,B,5.575982
4,0.65,0.54,,n1_cong,0.418866
4,0.65,0.54,,n1_incong,0.366341
4,0.65,0.54,,s1_cong,1.140892
4,0.65,0.54,,s1_incong,-0.392222
4,0.65,0.54,,n2_cong,-0.409003
4,0.65,0.54,,n2_incong,0.006117
4,0.65,0.54,,s2_cong,1.811144
4,0.65,0.54,,s2_incong,-1.0
4,0.65,0.54,,B,1.748288
4,0.65,0.52,,n1_cong,0.123316
4,0.65,0.52,,n1_incong,0.323657
4,0.65,0.52,,s1_cong,1.080139
4,0.65,0.52,,s1_incong,0.000667
4,0.65,0.52,,n2_cong,-0.54978
4,0.65,0.52,,n2_incong,0.013069
4,0.65,0.52,,s2_cong,2.636824
4,0.65,0.52,,s2_incong,-1.0
4,0.65,0.52,,B,2.559507
4,0.65,0.61,,n1_cong,0.636138
4,0.65,0.61,,n1_incong,0.492774
4,0.65,0.61,,s1_cong,1.60417
4,0.65,0.61,,s1_incong,-1.0
4,0.65,0.61,,n2_cong,-0.104157
4,0.65,0.61,,n2_incong,-0.323222
4,0.65,0.61,,s2_cong,6.512515
4,0.65,0.61,,s2_incong,-1.0
4,0.65,0.61,,B,1.003445
4,0.8,0.56,,n1_cong,0.983861
4,0.8,0.56,,n1_incong,0.879866
4,0.8,0.56,,s1_cong,1.31467
4,0.8,0.56,,s1_incong,-0.649443
4,0.8,0.56,,n2_cong,-0.314245
4,0.8,0.56,,n2_incong,-0.047546
4,0.8,0.56,,s2_cong,2.056367
4,0.8,0.56,,s2_incong,-1.0
4,0.8,0.56,,B,1.391671
4,0.8,0.53,,n1_cong,0.856041
4,0.8,0.53,,n1_incong,1.052402
4,0.8,0.53,,s1_cong,1.158555
4,0.8,0.53,,s1_incong,0.209554
4,0.8,0.53,,n2_cong,-0.569257
4,0.8,0.53,,n2_incong,-0.334122
4,0.8,0.53,,s2_cong,2.53985
4,0.8,0.53,,s2_incong,-0.371557
4,0.8,0.53,,B,2.31505
4,0.8,0.515,,n1_cong,2.860263
4,0.8,0.515,,n1_incong,3.093588
4,0.8,0.515,,s1_cong,1.35612
4,0.8,0.515,,s1_incong,2.680473
4,0.8,0.515,,n2_cong,-0.72994
